City,State,Population
Rancho Palos Verdes,California,42448
San Bruno,California,42443
Concord,New Hampshire,42419
Burlington,Vermont,42284
Apex,North Carolina,42214
Midland,Michigan,42181
Altamonte Springs,Florida,42150
Hutchinson,Kansas,41889
Buffalo Grove,Illinois,41778
Urbandale,Iowa,41776
State College,Pennsylvania,41757
Urbana,Illinois,41752
Plainfield,Illinois,41734
Manassas,Virginia,41705
Bartlett,Illinois,41679
Kearny,New Jersey,41664
Oro Valley,Arizona,41627
Findlay,Ohio,41512
Rohnert Park,California,41398
Westfield,Massachusetts,41301
Linden,New Jersey,41301
Sumter,South Carolina,41190
Wilkes-Barre,Pennsylvania,41108
Woonsocket,Rhode Island,41026
Leominster,Massachusetts,41002
Shelton,Connecticut,40999
Brea,California,40963
Covington,Kentucky,40956
Rockwall,Texas,40922
Meridian,Mississippi,40921
Riverton,Utah,40921
St. Cloud,Florida,40918
Quincy,Illinois,40915
Morgan Hill,California,40836
Warren,Ohio,40768
Edmonds,Washington,40727
Burleson,Texas,40714
Beverly,Massachusetts,40664
Mankato,Minnesota,40641
Hagerstown,Maryland,40612
Prescott,Arizona,40590
Campbell,California,40584
Cedar Falls,Iowa,40566
Beaumont,California,40481
La Puente,California,40435
Crystal Lake,Illinois,40388
Fitchburg,Massachusetts,40383
Carol Stream,Illinois,40379
Hickory,North Carolina,40361
Streamwood,Illinois,40351
Norwich,Connecticut,40347
Coppell,Texas,40342
San Gabriel,California,40275
Holyoke,Massachusetts,40249
Bentonville,Arkansas,40167
Florence,Alabama,40059
Peachtree Corners,Georgia,40059
Brentwood,Tennessee,40021
Bozeman,Montana,39860
New Berlin,Wisconsin,39834
Goose Creek,South Carolina,39823
Huntsville,Texas,39795
Prescott Valley,Arizona,39791
Maplewood,Minnesota,39765
Romeoville,Illinois,39650
Duncanville,Texas,39605
Atlantic City,New Jersey,39551
Clovis,New Mexico,39508
The Colony,Texas,39458
Culver City,California,39428
Marlborough,Massachusetts,39414
Hilton Head Island,South Carolina,39412
Moorhead,Minnesota,39398
Calexico,California,39389
Bullhead City,Arizona,39383
Germantown,Tennessee,39375
La Quinta,California,39331
Lancaster,Ohio,39325
Wausau,Wisconsin,39309
Sherman,Texas,39296
Ocoee,Florida,39172
Shakopee,Minnesota,39167
Woburn,Massachusetts,39083
Bremerton,Washington,39056
Rock Island,Illinois,38877
Muskogee,Oklahoma,38863
Cape Girardeau,Missouri,38816
Annapolis,Maryland,38722
Greenacres,Florida,38696
Ormond Beach,Florida,38661
Hallandale Beach,Florida,38632
Stanton,California,38623
Puyallup,Washington,38609
Pacifica,California,38606
Hanover Park,Illinois,38510
Hurst,Texas,38448
Lima,Ohio,38355
Marana,Arizona,38290
Carpentersville,Illinois,38241
Oakley,California,38194
Huber Heights,Ohio,38142
Lancaster,Texas,38071
Montclair,California,38027
Wheeling,Illinois,38015
Brookfield,Wisconsin,37999
Park Ridge,Illinois,37839
Florence,South Carolina,37792
Roy,Utah,37733
Winter Garden,Florida,37711
Chelsea,Massachusetts,37670
Valley Stream,New York,37659
Spartanburg,South Carolina,37647
Lake Oswego,Oregon,37610
Friendswood,Texas,37587
Westerville,Ohio,37530
Northglenn,Colorado,37499
Phenix City,Alabama,37498
Grove City,Ohio,37490
Texarkana,Texas,37442
Addison,Illinois,37385
Dover,Delaware,37366
Lincoln Park,Michigan,37313
Calumet City,Illinois,37240
Muskegon,Michigan,37213
Aventura,Florida,37199
Martinez,California,37165
Greenfield,Wisconsin,37159
Apache Junction,Arizona,37130
Monrovia,California,37101
Weslaco,Texas,37093
Keizer,Oregon,37064
Spanish Fork,Utah,36956
Beloit,Wisconsin,36888
Panama City,Florida,36877
